,acronym,meaning_wiktionary,meaning_pdf,meaning_any
92,"ביסלמ""כ",TODO,"['בית הספר למפקדי כיתות ולמקצועות החי""ר גם ביסלמ""ח']",True
93,"ביסלמ""ש",TODO,['בית הספר למודיעין השדה '],True
94,"ביסמ""ת",TODO,['בית הספר למקצועות התעופה'],True
95,"בלמ""ס",TODO,"['תש""ק - תת""ש']",True
96,"בלת""מ",TODO,,True
97,"במצ""א",TODO,"['בית־מלאכה לציוד אלקטרוני ] 2-1 הגו: במצ""א', 'בסיס מחסני ציוד אוויר;', 'בסיס מרכזי לציוד אלקטרוני']",True
98,"בנ""ג",TODO,,True
99,"בנג""ע",TODO,,True
100,"בס""כ",TODO,['בסיס כליאה'],True
101,"בסמ""ח",TODO,"['בית הספר למקצועות המחשב וההגנה בסב""ר ]גם ביסמ""ח']",True
102,"בצ""ם",TODO,"['בסיס־ציוד מרחבי;', 'בלתי־נצפה מראש ']",True
103,"בצ""ת",TODO,['בסיס ציוד ותובלה '],True
104,"בק""א",TODO,"['בקרת איכות ]הגו: בק""א; ראו גם ]QC']",True
105,"בקו""ם",TODO,"['בסיס הקליטה והמיון ]הגו: בקו""ם; השם שונה ל\'מיטב']",True
106,"בקנ""ז",TODO,['בקרת נזקים'],True
107,"בקר""י",TODO,['בקרת ירי '],True
108,"ברה""ן",TODO,['בריאות הנפש'],True
109,"ברה""ץ",TODO,['בריאות הצבא'],True
110,ג,TODO,['48'],True
111,"גא""פ",TODO,"[""ג'האד אסלאמי פלסטיני""]",True
112,"גד""ב",TODO,"['גדוד  בינוניים ]בדרך כלל ארטילריה של 155 מ""מ']",True
113,"גד""ם",TODO,"['גלים דצימטריים;', 'גדוד מובילים']",True
114,"גדמ""ז",TODO,['הגדה המזרחית'],True
115,"גדנ""ע",TODO,['גדודי נוער'],True
116,"גדס""ר",TODO,['גדוד סיור'],True
117,"גכ""א",TODO,,True
118,"גל""ץ",TODO,"['גילוי צוללות;', 'גלי צה""ל ']",True
119,"גלח""ץ",TODO,['גילוח וצחצוח '],True
120,"ד""צ",TODO,['דואר צבאי '],True
121,"דבל""א",TODO,['דין בין־לאומי '],True
122,"דגמ""ח",TODO,['דגם חדש'],True
123,"דד""מ",TODO,,True
124,"דו""ץ",TODO,"['דובר צה""ל']",True
125,"דח""ש",TODO,['דחיית שירות  דיאג דיאגרמה ]בעברית: תרשים די־אן־איי ראו: DNA ]חומצת הגרעין המכילה את הגנים נושאי החומר התורשתי דיב דיביזיה ]הכתיב התקני: דיוויזיה'],True
126,"דמ""צ",TODO,,True
127,"דמ""ש",TODO,"['דין משמעתי;', 'דמי שכירות ']",True
128,"דפ""א",TODO,['דרך־פעולה אפשרית '],True
129,"דפ""ע",TODO,"['דוחפעילות ;', 'דוחפעילות עוינת;', 'דרך פעילות']",True
130,"דפ""ר",TODO,"['דירוג פסיכוטכני ראשוני;', 'דימום, פינוי, ראשי']",True
131,"דת""ק",TODO,['דיר תת־קרקעי  59'],True
132,"הג""א",TODO,"['הגנה אזרחית  או התגוננות אזרחים ]לאזרחים המוגנים; 3-1 הגו: הג""א', 'התגוננות אווירית;', 'הגנת גזים ואוויר']",True
133,"הגנ""א",TODO,"['הגנה אווירית ]הגו: הגנ""א; ראו גם ]AD']",True
134,"הגנ""ק",TODO,"['הוראות גילוי ניווט קשר;', 'הגנה קרקעית']",True
135,"הגנ""ש",TODO,"['הגנת שטח;', 'הגנת יישובים;', 'הגנת השמיים']",True
136,"הח""פ",TODO,,True
137,"הט""מ",TODO,['הוראה טכנית מיוחדת ]הגו: הא־טית־מם; אל תקצרו בנקודות: ה.ט.מ'],True
138,"הסב""ש",TODO,['הסברה שבועית  הסו הסוואה'],True
139,"הפ""ע",TODO,['הוראות הפיקוד העליון  הפצ הפצצה'],True
140,"הפס""ד",TODO,['הפרת סדר ]המונח הנכון: הפרעת הסדר ברשות הרבים או הפרעת הסדר במקום ציבורי'],True
141,"הצ""ח",TODO,"['הצבת חירום ;', 'הצבה חזויה']",True
142,"הק""א",TODO,"['הוראות קבע אכ""א ]לפנים גם הוראות קבע אמ""ש; 4-1 הגו: הק""א', 'הוראות קבע אט""ל ]לפנים גם הוראות קבע אלר""ם', 'הוראות קליטה אג""מית;', 'הוראת קבע אגפית']",True
143,"וח""ק",TODO,['ועדת חקירה'],True
144,"ולת""ם",TODO,['ועדה לתיאום שירות המילואים'],True
145,"וע""ר",TODO,['ועדה רפואית '],True
146,"ור""פ",TODO,"['ועדה רפואית  ור""פ־יח""ש ועדה רפואית ליחידות השדה ]הגו: ור""פ־יח""ש']",True
147,"ותק""ץ",TODO,"['ותיקי צה""ל']",True
148,"ז""ח",TODO,"['זיהוי חללים;', 'זרם חילופים ]ראו גם ;]AC', 'זמן חיבור']",True
149,"זבב""ם",TODO,,True
150,"זו""ק",TODO,['זיהוי וקבורה'],True
151,"זחל""ם",TODO,['זחל למחצה '],True
152,"זחל""מ",TODO,,True
153,"זע""ט",TODO,"['זיהוי עמית או טורף ]הגו: זע""ט; ראו גם ]IFF']",True
154,"ח""א",TODO,"['חיל האוויר ]השם בהפ""ע: זרוע האוויר והחלל; גם חה""א; ראו גם ;]AF', 'חוזה אישי ']",True
155,"ח""י",TODO,['חיל הים '],True
156,"ח""ל",TODO,['חייב לסיים '],True
157,"ח""ן",TODO,['חיל הנשים '],True
158,"ח""ק",TODO,['חסר קליע'],True
159,"ח""ש",TODO,['חודר שריון ]ראו גם ]AP'],True
160,"חג""ד",TODO,,True
161,"חג""ם",TODO,"['חינוך גופני מורחב;', 'חיילות הגיוס המיוחד;', 'חיל ההגנה המרחבית']",True
162,"חה""א",TODO,['חיל האוויר '],True
163,"חה""י",TODO,['חיל הים '],True
164,"חה""ן",TODO,"['חיל ההנדסה הקרבית ]הגו: חה""ן ; ראו CE וגם ]ENGR']",True
165,"חה""ס",TODO,['חיל ההספקה ;'],True
166,"חו""ד",TODO,['חוות דעת '],True
167,"חו""פ",TODO,['חילוץ ופינוי'],True
168,"חוג""ד",TODO,['חובש גדודי'],True
169,"חופ""ל",TODO,['חובש פלוגתי'],True
170,"חזל""ש",TODO,['חזרה לשגרה'],True
171,"חט""כ",TODO,['חטיבת כוח'],True
172,"חט""ל",TODO,"['החטיבה הטכנולוגית ליבשה;', 'החטיבה הלוגיסטית']",True
173,"חט""ם",TODO,"['חבל, טריג, מקבילים ;', 'חטיבת המחקר']",True
174,"חטמ""ר",TODO,['חטיבה מרחבית'],True
175,"חי""א",TODO,['חיל האוויר '],True
176,"חי""ח",TODO,['חיל החימוש '],True
177,"חי""מ",TODO,,True
178,"חי""ק",TODO,"['חיל הקשר ]ראו SC וגם ;]SIG', 'חיל הקשר והאקלטרוניקה;', 'חיל הקשר, האלקטרוניקה והמחשבים;', 'חיל הקשר והתקשוב']",True
179,"חי""ר",TODO,['חיל הרגלים'],True
180,"חי""ש",TODO,['חיל השדה'],True
181,"חיר""מ",TODO,,True
182,"חירמ""כ",TODO,['חיל רגלים ממוכן'],True
183,"חכ""ל",TODO,['החיל הכללי'],True
184,"חל""כ",TODO,,True
185,"חמ""ל",TODO,['חדר מלחמה ]ראו TOC וגם ]OC'],True
186,"חמ""מ",TODO,,True
187,"חמ""ן",TODO,"['חיל המודיעין;', 'חטיבת מערכות נשק']",True
188,"חמ""ץ",TODO,['חיל המשטרה הצבאית'],True
189,"חנ""ה",TODO,"['חומר־נפץ הודף ]הגו: חנ""ה; ראו גם ;]PROP', 'חוברת נהלים והנחיות 79']",True
190,"חנ""ך",TODO,['חיל החינוך והנוער'],True
191,"חנ""כ",TODO,,True
192,"חנ""מ",TODO,,True
193,"חנת""ר",TODO,['חניך תורן'],True
194,"חפ""ק",TODO,['חבורת פיקוד קדמית'],True
195,"חפ""ש",TODO,"['חייל פשוט;', 'חוליית פסיכולוגים – שדה']",True
196,"חפש""ש",TODO,['חופשת שחרור'],True
197,"חק""ש",TODO,['חוקר שטח'],True
198,"חקש""ב",TODO,['חוקר שבויים  חר חורבה'],True
199,"חר""פ",TODO,['חיל הרפואה'],True
200,"חרמ""ש",TODO,['חיל רגלים משוריין'],True
201,"חש""ל",TODO,"['חוליית שליטה;', 'חבורת שליטה;', 'חיל השלישות ']",True
202,"חש""ן",TODO,['חיל השריון'],True
203,"חש""ץ",TODO,"['חוק השיפוט הצבאי התשט""ו־ 1955 ראו גם ]VCMJ']",True
204,"חת""מ",TODO,,True
205,"חת""ק",TODO,"['חיל התחזוקה ;', 'חובה בתנאי קבע']",True
206,"חתומכ""א",TODO,['חטיבת התכנון ומנהל כוח־האדם '],True
207,"ט""ש",TODO,['טעון שיפור  89'],True
208,"טא""א",TODO,['טיל אוויר־אוויר ]ראו גם ]AAM'],True
209,"טא""ק",TODO,['טיל אוויר־קרקע'],True
210,"טג""ח",TODO,"['טיפוס, גלישה וחילוץ']",True
211,"טג""ש",TODO,['טנק גישור ]ראו גם ]AVLB'],True
212,"טד""א",TODO,,True
213,"טד""ח",TODO,['טנק דחפור'],True
214,"טו""פ",TODO,"['טכנולוגיה ופיתוח;', 'טכנולוגיה ואלקטרו־אופטיקה;', 'טכנולוגיה ופרויקטים ;', 'טיפוח ופיתוח טופו טופוגרפיה ]יש ההוגים: טופו']",True
215,"טחל""ץ",TODO,['טנק חילוץ ]ראו גם ]RT'],True
216,"טל""מ",TODO,,True
217,"טמ""מ",TODO,,True
218,"טנ""א",TODO,['טכנולוגיה ואחזקה'],True
219,"טק""א",TODO,['טיל קרקע־אוויר '],True
220,"טק""ק",TODO,['טיל קרקע־קרקע'],True
221,"טקא""ר",TODO,,True
222,"טר""צ",TODO,,True
223,"טר""ש",TODO,['טוראי ראשון '],True
224,"יא""א",TODO,"['יחידת אחזקה אווירית ;', 'יחידת אורזי אפסניה ']",True
225,"יאל""מ",TODO,,True
226,"יב""א",TODO,"['יחידת־בקרה אווירית  ]הגו: יב""א; ראו גם ]ACUA, ACU']",True
227,"יב""ן",TODO,['היחידה לביטחון הנמלים'],True
228,"יבד""צ",TODO,,True
229,"יוהל""ם",TODO,"['יועצת הרמטכ""ל לענייני המגדר עדיף לכתוב כך: יוהל""מית']",True
230,"יוהל""ן",TODO,"['יועצת הרמטכ""ל לענייני הנשים ']",True
231,"יועכ""ל",TODO,"['היועץ הכספי לרמטכ""ל;', 'יועץ כלכלי']",True
232,"יח""ט",TODO,['יחידה חטיבתית'],True
233,"יח""ש",TODO,"['יחידת שדה ;', 'יחידת חישוב;', 'יחידת שבויים']",True
234,"יחמ""ם",TODO,"['יחידת  מודיעין מטרות;', 'יחידת תפעול משימה מורחבת']",True
235,"יחמ""מ",TODO,,True
236,"יחמ""ן",TODO,['יחידת מודיעין'],True
237,"יחס""פ",TODO,['היחידה לסילוק פצצות ]מוטב: היחידה לסילוק תחמושת )נפלים'],True
238,"יחצ""א",TODO,['יחידת החילוץ וההצלה הארצית '],True
239,"יטא""פ",TODO,['יחידת טכנולוגיה ואחזקה פיקודית'],True
240,"ילת""ם",TODO,"['היחידה למשימות תת־מימיות י-ם )י""ם ראו: ירוש\' או כתבו: ירושלים']",True
241,"ימ""ג",TODO,"['יחידת משמר הגבול;', 'יחס משקל גובה']",True
242,"ימ""ח",TODO,"['יחידת מחסני חירום;', 'ימי מחבוש']",True
243,"ימ""ל",TODO,"['יחידה מחוץ לסד""כ ;', 'ירי מעבר לגבול;', 'יום לחימה;', 'יום פעילות מחוץ לצבא']",True
244,"ימ""ס",TODO,"['ירי מטרת סילון;', 'יחידת מסתערבים']",True
245,"ינ""ט",TODO,"['יחידה נגד־טנקים;', 'יחידת ניסוי הטיסה']",True
246,"יעח""ק",TODO,['ייעוץ וחקיקה'],True
247,"יק""ל",TODO,['יחידת קישור ללבנון'],True
248,"יק""ר",TODO,['יחידת קישור רפואית'],True
249,"יקל""ר",TODO,['יחידת הקישור לרשות המקומית'],True
250,"ירי דו""צ",TODO,,True
251,"ירפ""א",TODO,['יחידה רפואית אווירית '],True
252,"יש""י",TODO,"['יחידת־שליטה ימית ;', 'יחידות השיטור הימי ']",True
253,"כ""כ",TODO,"['כיתת כוננות;', 'כל כך;', 'כתובת כפולה 101']",True
254,"כ""ל",TODO,"['כשיר לשירות;', 'כושר לקוי ;', 'כניסה לרשתות ']",True
255,"כ""מ",TODO,"['כושר מוגבל;', 'כן נחיתה']",True
256,"כ""ק",TODO,['כושר קרבי '],True
257,"כטב""ם",TODO,['כלי טיס בלתי־מאויש ]ראו AV וגם ]VAS'],True
258,"כתב""צ",TODO,,True
259,"ל""א",TODO,"['לוחמה אלקטרונית ;', 'לוח ארטילריה;', 'לחץ אוויר']",True
260,"לב""ב",TODO,['לחימה בשטח בנוי'],True
261,"לה""א",TODO,['להק האוויר '],True
262,"לוט""ם",TODO,"[' להתעצמות ולתקשוב טכנולוגי־מבצעי ]הגו: לוט""ם']",True
263,"לוט""ר",TODO,['לוחמה בטרור ]ראו גם ]CT'],True
264,"למד""ן",TODO,['להק המודיעין'],True
265,"לצ""ד",TODO,['להק הציוד'],True
266,"לש""ב",TODO,['לחימה בשטח בנוי ]ראו גם ]FIBUA'],True
267,"לש""ב לוט""ר",TODO,,True
268,"מ""א",TODO,"['מספר אישי ;', 'מעצור אוויר ;', 'מערכות אלקטרוניות;', 'מודיעין אוויר;', 'מערכות ארגוניות;', 'משימות אש;', 'המפקדה הארצית;', 'משאבי אנוש;', 'מחשב אישי;']",True
269,"מ""ג",TODO,['מתח גבוה'],True
270,"מ""ט",TODO,"['משנה טכני ;', 'מפקד טייסת;', 'מקבע טכני;', 'מיצוי טכני;', 'מיועד מוטל;', 'מגמת מכטרוניקה']",True
271,"מ""כ",TODO,['מפקד כיתה'],True
272,"מ""מ",TODO,"['ממלא מקום;', 'מחשב מרכזי;', 'מודיעין מוטס;', 'מתלה מטען;', 'מרכז מבצעים;', 'מתח ומקבילים;', 'מידה מיוחדת;', 'מרכז מודיעין ;', 'מפקד מחלקה;', 'מחלקה מיוחדת;', 'מבצעים מיוחדים;', 'מצבה ממוצעת;', 'מערכות מידע;', 'מודלים מתקדמים;', 'מלא מחדש;', 'מדעים מדויקים;', 'מכונאי מוטס;', 'מפקד מסוק;', 'מושל מחוז;', 'מנת משכל;', 'מראה מקום;', 'משכורת ממוצעת;', 'מפקד מוצב;', 'מפקד מגמה; 127']",True
273,"מ""פ",TODO,"['מפקד פלוגה ;', 'מועד הפתיחה;', 'מחנה פליטים;', 'משימת פיתוח ']",True
274,"מ""צ",TODO,"['המשטרה הצבאית ]יש ההוגים: מם־צדי; אל תקצרו בנקודות: מ.צ.; בסימנים מוסכמים – בלי גרשיים', 'מעלות צלזיוס']",True
275,"מ""ק",TODO,"['מכשיר קשר ] 4-1 הגו: מם־קוף; אל תקצרו בנקודות: מ.ק', 'מדור קבוע;', 'מספר מקרקעין;', 'מחנה קבע;', 'מודיעין קבוע;', 'מידה קטנה;', 'מנת קרב ;', 'מטר מעוקב;', 'מערכת קשר']",True
276,"מא""ב",TODO,"['מערכות אוויוניקה ובקרה;', 'מאבחן ביטחוני ;', 'מאבטח ביטחוני']",True
277,"מא""ג",TODO,['מקלע אחיד גדודי'],True
278,"מא""ה",TODO,"['מודיעין, אש, הכוונה']",True
279,"מא""ט",TODO,['המרכז לאימונים טקטיים'],True
280,"מא""ל",TODO,['המרכז לאימונים לוגיסטיים '],True
281,"מא""ש",TODO,"['המרכז לאימונים באש;', 'מרכז אחזקה ושינוע']",True
282,"מאו""ג",TODO,"['מפקד אוגדה;', 'מחסן אוגדתי']",True
283,"מב""א",TODO,"['מבער אחורי ] 4-1 הגו: מב""א; ראו גם ;]AB', 'מכ""ם בקרת אש ]ראו גם ;]FCR', 'מרכז הבקרה הארצי;', 'מאמן בקר אש;', 'מכלול בקרה אוגדתי']",True
284,"מב""ל",TODO,"['המכללה לביטחון לאומי;', 'המערכת הבין־לאומית']",True
285,"מב""מ",TODO,,True
286,"מב""ס",TODO,"['מפקד הבסיס;', 'מרכז בקרה סוללתי']",True
287,"מב""ר",TODO,"['מש""ק בינה רשתית;', 'מחסום ביקורת רכב;', 'מכמונת בדיקת רישיונות;', 'מרחב בידוד ראשוני']",True
288,"מבד""ק",TODO,"['מבדקי קצונה;', 'מדור בדיקת הקצינים']",True
289,"מבק""א",TODO,['המנהלת לבטיחות ולביקורת איכות '],True
290,"מג""ב",TODO,"['משמר הגבול ]בסימנים מוסכמים – בלי גרשיים', 'מד־טווח לייזר גל בז']",True
291,"מג""ד",TODO,['מפקד גדוד'],True
292,"מג""ל",TODO,"['המערך לגיבוי לחימה;', 'מערכת גנרית לניהול משאבים;', 'מפקד הגליל']",True
293,"מג""מ",TODO,,True
294,"מגכ""א",TODO,['מפקד גף כוח־אדם '],True
295,"מד""כ",TODO,['מפקד כלואים'],True
296,"מד""ן",TODO,['מספן המודיעין'],True
297,"מד""ס",TODO,['מדריך ספורט'],True
298,"מד""ר",TODO,['מדריך ראשי '],True
299,"מדא""ג",TODO,['מדריך אימון גופני'],True
300,"מו""ג",TODO,"['מבצעים וגיחות מוד', 'מודיעין;', 'מודדים']",True
301,"מוד""ש",TODO,"['מודיעין שדה ;', 'מודל שידור']",True
302,"מודא""ל",TODO,['מודיעין אלקטרוני ]ראו גם ]ELINT 117'],True
303,"מונ""ר",TODO,['מוקש נגד־רכב'],True
304,"מור""ק",TODO,['מורשת קרב'],True
305,"מז""י",TODO,"['מפקד זרוע היבשה ;', 'מפקדת הזרוע לבניין הכוח ביבשה;', 'מפסק זרם־ישר']",True
306,"מז""ש",TODO,"['מונה זמן שהייה;', 'מזר שני ']",True
307,"מזל""ט",TODO,['מטוס זעיר ללא־טייס'],True
308,"מזקו""ם",TODO,"['מערכת זחלים, קפיצים ומרכובים ]ראו גם ]SBTS']",True
309,"מח""א",TODO,"['מפקדת חיל האוויר ;', 'מטה חיל האוויר']",True
310,"מח""ט",TODO,"['מקבל החלטות;', 'המחלקה הטכנית']",True
311,"מח""י",TODO,"['מפקד חיל הים ;', 'מיליון חביות ביום']",True
312,"מחב""ש",TODO,['המערך לביטחון שדה '],True
313,"מט""מ",TODO,,True
314,"מט""ק",TODO,"['מערכת טיהור קלה;', 'מחשב טקטי 122']",True
315,"מט""ת",TODO,"['היחידה למחקר ולתשתית טכנולוגית במשהב""ט']",True
316,"מטכ""ל",TODO,['המטה הכללי'],True
317,"מטע""ד",TODO,['מטען ייעודי ]המונח התקני: מטען תכליתי ) ])payload'],True
318,"מטר""ב",TODO,,True
319,"מטת""א",TODO,['מפקד טייסת תחזוקה אווירית'],True
320,"מיח""ה",TODO,"['מפקד יחידת בקרה ;', 'מפקדת יחידות הבקרה']",True
321,"מכ""א",TODO,"['מדור  כוח־האדם 2-1 הגו: מכ""א', 'מספן כוח־האדם']",True
